,OS,Remission,pCR,pRelapse
SOCS2,0.5585231790781419,0.2749719729368089,0.39334003647215326,0.35172305154775113
SPI1,0.4929153518830608,0.42951682963182136,0.31980001780135914,0.29562603361582984
SPP1,0.39274326846097063,0.43462295394393635,0.35810869550276797,0.36349971628577976
SQSTM0,0.43112129902308527,0.32714974465720176,0.3977755359220299,0.42433946440865566
SRC,0.40716339754796554,0.3326821400963861,0.5667143530482797,0.2533937430992828
SRC.pY416,0.29562603361582984,0.4273953160326627,0.38656514666863934,0.2128507442033975
SRC.pY527,0.3004436430525322,0.4086900275707788,0.356555383052883,0.2957174578634543
SSBP2,0.42079635906532575,0.2885460747876518,0.2674668115986726,0.32060674976405773
STAT1,0.38356926678195735,0.2783269056014203,0.6024881965844526,0.34340103291738017
STAT1.pY701,0.4794615834774467,0.41392662280374903,0.3124264711290133,0.359229176218968
STAT3,0.4309939845936579,0.3421230249704455,0.37929743315499814,0.2319109725935186
STAT3.pS727,0.6837773834169892,2.0,2.0,0.3115668685999709
STAT3.pY705,0.4308607381459951,0.4601966031769517,0.6026661699291551,0.33237828371262484
STAT5A_B,0.4172828375729615,0.547352715496579,0.4640714585757015,2.0
STAT5A_B.pY694,0.3080016784480725,0.441569140288848,0.26211747536669916,0.3435072318900619
STAT6.pY641,0.4562130148392438,0.39605016678141225,0.33674119443134803,0.3845368639370456
STK11,0.36349971628577965,0.3377948187064601,0.31980001780135947,0.2462524228370095
STMN1,2.0,0.34319348837125524,2.0,0.42369566465587055
TAZ,0.6907865238085364,0.4415691402888482,0.3208998447475947,0.4710576583228811
TAZ.pS89,0.3784878345332983,0.3461902059864568,0.5459754302997272,0.27608449118276024
TCF4,0.49446447780168296,0.3221981840968442,0.5829687824503949,0.27377926973162
TGM2,0.4157241097722608,0.27267604067433104,2.0,0.3813260981902836
TNK1,0.3912762063247736,0.43638140940107856,0.48727503150448653,2.0
TP53,0.3923845550378018,2.0,0.8667207230592697,0.30044364305253224
TP53.pS15,0.4121311976029249,0.32060674976405773,0.3761304150601915,0.2317708103548105
TRIM24,0.5748980872274292,2.0,0.6294792198205288,0.271493296177803
TRIM62,0.5045555895935541,0.19718203516368846,0.5524660221139304,0.3206067497640577
TSC2,0.43462295394393635,0.5724044411151733,0.4744085142265144,0.3619230200426359
VASP,2.0,0.2725917399298165,0.408275434224214,0.3323782837126247
VHL,0.36046460431742694,0.3117596065043185,0.5124162111950771,0.3406390510799685
WTAP,0.366560383896906,0.28489567175367836,0.3836878880386799,0.35172305154775113
XIAP,0.3622538858827315,0.3895844259699061,0.28400704653206155,0.23650082689266388
XPO1,0.3709180778426323,0.2661457120771089,0.3681572825415613,0.32050763072288824
YAP1,0.5519614253610603,0.24456734298896238,0.36405204912041556,0.32990434550721537
YAP1p,0.48712438516299783,0.3788338437352664,0.36849384767234833,0.25229463642909583
YWHAE,0.40740962757681565,2.0,0.5566089405626002,0.2966427236085782
YWHAZ,0.3619230200426357,2.0,0.5686554663991867,0.269226409807226
ZNF296,0.4038885736508664,0.4191007055887957,0.3702084956072986,0.616516799971919
ZNF346,0.534567226516321,0.37103278663800576,0.37438315220552715,0.2472487437005137
Ras.Stat,0.24518429196219216,0.21285074420339758,0.31703613341577047,0.26814152708918804
PRIOR.MAL,2.0,0.3533596628719843,2.0,0.30392134720923836
PRIOR.CHEMO,0.4487650818342958,0.2840070465320615,0.4247273906404849,0.34350723189006177
ITD,0.40213668893626203,0.24441953149938572,0.31069541074745505,0.344688590516796
Infection,0.3637195409217051,0.285067960986693,0.3129285268396341,0.26163888222276593
SEX,0.3230109657071184,0.5170955675456906,0.5095770682797454,0.3846557844293966
D835,0.2402806061229483,0.32857495318161606,0.11881022443245551,0.39250590247897615
PRIOR.XRT,0.4564889073789027,0.2887205715836495,0.3596687748665228,0.3029733785270346
cyto.cat=diploid,2.0,0.45016921590480014,2.0,0.2873793593075169
cyto.cat=-5,0.3421230249704456,0.4617792692074905,0.37730728365384447,0.3102197314651165
cyto.cat=IM,0.42554146977382223,0.32734758682953463,0.5826164480665084,0.3531460995340215
cyto.cat=Misc,0.44169957858998043,0.5470219067335915,2.0,0.42540990903003606
cyto.cat=11q23,0.391039727005066,0.47888220510406426,0.3539014913045231,0.32714974465720176
"cyto.cat=-5,-7",0.7134844992223912,0.3341314501745051,0.31078718931133087,0.3257307180383722
cyto.cat=8,0.38476941068282733,0.3800191710447677,0.402628794690169,0.3324810738293931
cyto.cat=-7,0.3298023520138519,0.32725091781472093,2.0,0.31012382368289626
"cyto.cat=-5,-7,+8",0.4617792692074906,0.3246143341361084,0.44677952270844445,0.3784878345332983
cyto.cat=t6;9,0.45977628101712636,0.4223741049017846,0.4014915095939708,0.3377948187064601
cyto.cat=21,0.5054715256881662,0.257678858437243,2.0,0.34053373883637794
cyto.cat=inv9,0.4579235528921388,0.3816747021000687,0.5333870153742167,0.3877746643313955
"cyto.cat=-7,+8",0.6439549962545701,0.32060674976405773,0.472065267012311,0.28032737381010625
cyto.cat=t9;22,0.49431160876518215,0.33103892233233095,0.5263208340722632,2.0
ACTB_Squared,0.4207963590653257,0.4240830023334097,0.3109751363101309,0.33779481870646016
AIFM1_Squared,0.3816747021000688,0.28400704653206144,0.4567712952841428,0.33769038578804256
AKT1_Squared,0.1847240387193771,0.2944347701914816,0.32491109280693975,0.333826270058369
AKT1_2_3.pS473_Squared,0.36192302004263577,0.40589340400207136,0.30589829302397753,0.311474859789007
AKT1_2_3.pT308_Squared,2.0,0.3972893619757743,0.5054715256881663,0.26163888222276593
ARC_Squared,0.6985761789725919,2.0,0.5730969679004154,0.29197632949711577
ASH2L_Squared,0.41897113607685643,0.31792978100797076,0.2972772526957994,0.23177081035481065
ASNS_Squared,0.45112589309945217,0.31050333075662706,0.31185602016287134,0.31792978100797054
ATF3_Squared,0.3284733706842555,0.30419918859068895,0.24855288487470834,0.43978978019761
ATG7_Squared,0.35040921726263297,2.0,0.6238459922269991,0.3693092041251386
BAD_Squared,0.3271497446572018,0.3550088081650769,0.3316444629051134,0.2638418816110816
BAD.pS112_Squared,0.38644563587631964,0.49092908557621345,0.4566300795023302,0.3230109657071183
BAD.pS136_Squared,0.342017253940291,0.35204459269458854,2.0,0.3488893016432584
BAD.pS155_Squared,0.43448858556118447,0.454515163631557,0.4976739721469858,0.20442185473294291
BAK1_Squared,0.5129294501738038,0.3753275763405114,0.36258505419655257,2.0
BAX_Squared,0.4636475973032905,0.310503330756627,0.5957699954303437,0.38167470210006865
