,OS,Remission,pCR,pRelapse
STAT3,0.605165749776,0.6381922245225232,0.4986278687047731,0.7321758454079998
STAT3.pS727,0.8135287171199999,0.5837331546966011,0.6419464201054993,0.9301344999071998
STAT3.pY705,0.46135750151417,0.4886553113306778,0.5915701317570244,0.8969154106247998
STAT5A_B,0.5251974185556,0.5404281436937125,0.601210533904176,1.0175258681800434
STAT5A_B.pY694,0.7001316000000001,0.47680503216590864,0.6788978210012587,1.0169108964
STAT6.pY641,0.7001316000000001,0.6129198124314313,0.4949165115099177,1.153657446916149
STK11,0.7233502500000001,0.5980560204813318,0.5367374862728059,0.6891180482912463
STMN1,2.0,0.5676250382927485,0.7575377718862614,0.9848645440162392
TAZ,0.53591573322,0.5191877016917673,0.506753656194777,0.6328635137368589
TAZ.pS89,0.49018425731856,0.7445575952762771,0.5912125988939065,0.8272862169736412
TCF4,0.5695771623631729,0.6919061739105599,0.46336737819816204,0.7910793921710734
TGM2,0.59306243478048,0.5235592621400119,0.454515163631557,0.7060267080720002
TNK1,0.64839187476,0.5695771623631729,0.5412568159072231,0.9269466299117324
TP53,0.6175160712000001,0.7599876066221202,0.7510589682244809,0.8716379111999998
TP53.pS15,0.6589582608672,0.6279588215053983,0.7817144363152762,0.6808114684980001
TRIM24,0.5930624347804802,0.5382504184331984,0.4927697890520821,0.960980797098
TRIM62,0.6751269000000001,2.0,0.8077120341613183,0.800483796
TSC2,0.6301184400000001,0.40213668893626203,0.5630596179941963,0.861397560364058
VASP,0.7091024716916925,0.42899186046406895,0.7547870900711333,0.7564571872200001
VHL,0.6301184400000001,2.0,0.7566911264585571,0.8168202
WTAP,0.7031816819298431,0.37696266874080847,0.6440956109295952,0.8576612100000001
XIAP,0.7687846376783998,0.6949204222578585,0.6306371774952405,0.847585063040436
XPO1,0.610261245389114,0.5581856191159097,0.5588686862482363,1.3297098994101566
YAP1,0.605165749776,0.8308902404760791,0.6415584408461895,0.6589582608672
YAP1p,0.5718816335383202,0.6949204222578587,0.4617792692074906,0.9766412249025599
YWHAE,0.7687846376783998,0.31792978100797065,0.6543896096631133,0.6029051998725
YWHAZ,0.5360814685989194,0.735365526198792,0.5545374539298124,0.7628265567363924
ZNF296,0.7060267080720001,0.6104499725946703,0.6800891230882358,0.907578
ZNF346,0.8168202,0.5126194461268556,0.7101799431743081,0.907578
Ras.Stat,0.39704924842803374,0.5148526424424023,0.3786048843244955,0.5557644640800001
PRIOR.MAL,0.7471182096,0.5337561913024321,0.6340211556597521,1.055212011445971
PRIOR.CHEMO,0.6457790956498559,0.7721338025087319,0.5410894805137583,0.9152198067599998
ITD,0.5954619258000002,0.3987789700087882,0.3863315146168322,0.605165749776
Infection,0.6175160712000001,0.7786351691258552,0.6190215663553071,0.6076142100000002
SEX,0.8168202,0.5792092227477026,0.49878207257235346,0.8334900000000001
D835,0.3970492484280337,0.5253598392269411,0.48096842712334087,0.7471182096
PRIOR.XRT,0.6175160712000001,0.5980560204813317,0.6312710605993846,0.823697826084
cyto.cat=diploid,2.0,0.6538513343454792,0.6678051813010357,0.8208747487920955
cyto.cat=-5,0.5446491747984,0.506596987825979,0.4809684271233406,0.9261
cyto.cat=IM,0.6589582608672,0.622908135300684,0.6877997358273203,0.7119714529539661
cyto.cat=Misc,0.830131344,0.47488368448073626,0.6844024847945585,0.7265014826060879
cyto.cat=11q23,0.6589582608672001,0.5382504184331983,0.5517984256343123,1.1117830499999999
"cyto.cat=-5,-7",0.794280046581,0.5045555895935541,0.523559262140012,1.0296222826050003
cyto.cat=8,0.45016921590480014,0.40691731633549805,0.6736363628884989,0.8107404926341683
cyto.cat=-7,0.6076142100000002,0.6730210947856241,0.7046760486147072,0.9848645440162392
"cyto.cat=-5,-7,+8",0.5446491747984,0.7950061682155188,0.5651757909465145,0.7628265567363925
cyto.cat=t6;9,0.3587901148629002,2.0,0.7328451920999018,0.800483796
cyto.cat=21,0.5064403678929001,0.406917316335498,0.8487958221394929,1.090206287335761
cyto.cat=inv9,0.5604440008675535,0.7007716522132695,0.471349058580874,0.6301184400000001
"cyto.cat=-7,+8",0.45016921590480014,0.6078021185928791,0.6159062654980447,0.889964316192458
cyto.cat=t9;22,0.7290000000000001,2.0,0.9417611811560399,2.0
ACTB_Squared,0.6407743076585697,0.5360814685989195,0.643764829906698,0.88942644
AIFM1_Squared,0.726501482606088,0.45410003063419874,0.5917530786157688,0.8542051529759997
AKT1_Squared,0.6751269000000002,0.4273953160326627,0.4547900294041875,1.0987213780153797
AKT1_2_3.pS473_Squared,0.8203786289181503,0.6949204222578587,0.5008001115403382,1.1440247584499998
AKT1_2_3.pT308_Squared,0.5812011860848705,0.5980560204813317,0.5088039476579319,0.9529568999999999
ARC_Squared,0.7001316000000001,0.5360814685989194,0.5545374539298122,0.8441696091567767
ASH2L_Squared,0.533756191302432,0.572058491602669,0.6463694594321134,0.6947055801
ASNS_Squared,0.6175160712000001,0.6925387065344071,0.405648090347674,0.918922725
ATF3_Squared,0.6175160712000001,0.7820272472141618,0.7217532459519636,0.7413280434756001
ATG7_Squared,0.583552687284,0.6839888459599084,0.5237211762009709,0.8751645000000001
BAD_Squared,0.7235739507058084,0.48247332173902746,0.5499072350110197,0.8306333617796273
BAD.pS112_Squared,0.49018425731856013,0.48486823266786505,0.5819124180010787,1.0767469504550722
BAD.pS136_Squared,0.76236552,0.6512165556352278,0.6111329919404354,1.001209855716515
BAD.pS155_Squared,0.7654500000000002,2.0,0.6566997990336763,0.7628265567363923
BAK1_Squared,0.6724063886400001,0.5253598392269412,0.7447878544896779,2.0
BAX_Squared,0.6004757152152361,0.583733154696601,0.7540977026707991,0.732175845408
BCL2_Squared,0.7938000000000001,0.5360814685989194,0.506550954732299,2.0
BCL2L1_Squared,0.6645066894237017,0.6701018357486495,0.6897480320428908,0.7844741200800001
BCL2L11_Squared,0.732175845408,0.5169357018632439,0.6875870951066183,1.058841
BECN1_Squared,0.7844741200799998,0.5768752241019637,0.48880643112090627,0.77839444564938
BID_Squared,0.6645066894237016,0.8007313507497957,0.698999132956976,0.9338977619999999
BIRC2_Squared,0.7031816819298432,0.6356205462251878,0.5341955997249905,1.0727248454105522
BIRC5_Squared,0.75645718722,0.7415573039293858,2.0,0.9529568999999999
BMI1_Squared,0.5230810674763834,0.6409724712244039,0.6205249195470661,0.8935650524036254
BRAF_Squared,0.6301184400000001,0.6078021185928792,0.6087256655779781,0.8648827173882
CASP3_Squared,0.55576446408,0.5006452837742043,0.5725814608611199,0.7687846376783999
CASP3.cl175_Squared,0.8004837960000001,0.5516278311882882,0.6308895333085639,0.726501482606088
CASP7.cl198_Squared,0.5230810674763834,0.6030916521737846,0.5407624571216262,0.6538513343454793
CASP8_Squared,0.5980560204813316,2.0,0.7478012164284712,0.7881243762199975
CASP9_Squared,0.9417611811560401,0.7950061682155188,0.673636362888499,1.0090298369529
CASP9.cl315_Squared,0.5954619258000001,0.6512165556352278,0.4292572384631469,0.6755351796171407
CASP9.cl330_Squared,0.8969154106248,0.46336737819816215,0.5453156770105901,1.03766418
CAV1_Squared,0.6381922245225232,0.5540309652275259,0.5320913390045157,0.76236552
CBL_Squared,0.4803805721721888,0.5910298191303088,0.6387756524749211,0.9266600543445003
CCNB1_Squared,0.6051657497760001,0.4005162270193634,0.581912418001079,0.771895089
CCND1_Squared,0.6616243620000001,0.6381922245225231,0.769487451704897,0.9081268532576099
CCND3_Squared,0.605165749776,0.6229081353006841,0.5678005799777075,0.6538513343454792
CCNE1_Squared,0.4803805721721888,0.7060267080720002,0.6207732288386016,0.8334900000000001
CCNE2_Squared,0.6175160712000001,0.735365526198792,1.3446572974191546,0.8899643161924579
CD44_Squared,0.567106596,0.781312979922048,0.4891020343660947,0.8547217292712365
CD74_Squared,0.7060267080720001,0.5108625344634736,0.582264326626303,0.9189227250000002
CDK1_Squared,0.45213035148388675,0.4541000306341987,0.4772409218131349,0.8648827173882
CDK2_Squared,0.6616243620000001,0.6921201503340935,0.5258401171173551,0.8140206945440347
CDK4_Squared,0.7938000000000001,0.6057189853070617,0.675682690173472,1.177913383151923
CDKN1A_Squared,0.48038057217218894,0.7503729859171347,0.6816445962632379,0.5671065960000001
CDKN2A_Squared,0.6127303216482001,0.5860949000717051,1.228769824585365,0.6947055801
CLPP_Squared,0.6724063886400001,0.6782777473274115,0.52600273654735,0.78447412008
COPS5_Squared,0.6919061739105601,0.7091024716916925,0.5382015090781678,0.8334900000000002
CREB1_Squared,0.5446491747984,0.7036069275360819,0.48291439327104047,1.1117830499999999
CREB1.pS133_Squared,0.5359157332200001,0.6485923941073345,0.5217648562096957,0.7692495563441129
CTNNA1_Squared,0.6301184400000001,0.638578168079342,0.5891863232260925,0.8405079858000001
CTNNB1_Squared,0.6354240372648001,0.574720351271408,0.46741343743764885,0.823697826084
CTNNB1.pS33_37_41_Squared,0.5786802000000001,0.5470219067335913,0.5866307012524786,0.71442
CTSG_Squared,0.7443274072500001,0.640972471224404,0.5432293261692758,0.8547217292712366
DIABLO_Squared,0.7031816819298431,0.5516278311882881,0.7101799431743078,0.9044674383822608
DLX1_Squared,0.6780680504323487,0.5126194461268558,0.6441541434687598,0.9491168366399998
